track_id,playlist_id,date_added,track_name,first_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0MU1272uxkGHaX1Qh56YxT,3scPGVlAn7d74uXRtFnmUC,2017-02-19T03:17:04Z,No Good Al Joad,Hop Along,0.388,0.222,4,-9.587,1,0.0737,0.641,1.83e-06,0.355,0.289,166.204,audio_features,0MU1272uxkGHaX1Qh56YxT,spotify:track:0MU1272uxkGHaX1Qh56YxT,https://api.spotify.com/v1/tracks/0MU1272uxkGHaX1Qh56YxT,https://api.spotify.com/v1/audio-analysis/0MU1272uxkGHaX1Qh56YxT,207720,3
7IImvdQBuqs4KGj9igy2js,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:03Z,Peach Boy,Jay Som,0.423,0.736,9,-5.396,1,0.0303,0.0916,0.698,0.173,0.602,144.949,audio_features,7IImvdQBuqs4KGj9igy2js,spotify:track:7IImvdQBuqs4KGj9igy2js,https://api.spotify.com/v1/tracks/7IImvdQBuqs4KGj9igy2js,https://api.spotify.com/v1/audio-analysis/7IImvdQBuqs4KGj9igy2js,193551,4
2GhMYkHsNAi4fKZwvb3xEO,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:07Z,Mild Neu Yeer,Throw Vision,0.198,0.687,4,-6.627,1,0.0388,0.0366,0.0518,0.161,0.176,179.956,audio_features,2GhMYkHsNAi4fKZwvb3xEO,spotify:track:2GhMYkHsNAi4fKZwvb3xEO,https://api.spotify.com/v1/tracks/2GhMYkHsNAi4fKZwvb3xEO,https://api.spotify.com/v1/audio-analysis/2GhMYkHsNAi4fKZwvb3xEO,313693,3
1blgW9v2UUVLZOBdP23rgw,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:20Z,I Can't Tell What the Time Is Telling Me,And The Kids,0.476,0.902,6,-6.063,1,0.0438,0.0896,0.295,0.104,0.341,135.914,audio_features,1blgW9v2UUVLZOBdP23rgw,spotify:track:1blgW9v2UUVLZOBdP23rgw,https://api.spotify.com/v1/tracks/1blgW9v2UUVLZOBdP23rgw,https://api.spotify.com/v1/audio-analysis/1blgW9v2UUVLZOBdP23rgw,281154,4
5IuToqeChB6uTLz0iOsDn6,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:28Z,Uncertainty Principle,Throw Vision,0.393,0.684,1,-8.401,0,0.0281,0.0881,0.152,0.15,0.186,107.55,audio_features,5IuToqeChB6uTLz0iOsDn6,spotify:track:5IuToqeChB6uTLz0iOsDn6,https://api.spotify.com/v1/tracks/5IuToqeChB6uTLz0iOsDn6,https://api.spotify.com/v1/audio-analysis/5IuToqeChB6uTLz0iOsDn6,206456,4
5Y8NV8AiYPodmq6uOYflq6,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:36Z,Sonsick,San Fermin,0.461,0.61,0,-5.828,1,0.0388,0.0223,0.00028,0.323,0.532,147.743,audio_features,5Y8NV8AiYPodmq6uOYflq6,spotify:track:5Y8NV8AiYPodmq6uOYflq6,https://api.spotify.com/v1/tracks/5Y8NV8AiYPodmq6uOYflq6,https://api.spotify.com/v1/audio-analysis/5Y8NV8AiYPodmq6uOYflq6,253427,4
71SERqGA0CKmQnt0jWDPTX,5LzBRPVAPYUssZ4ZESnRmH,2017-03-05T15:37:42Z,Leaving The Body,Aye Nako,0.269,0.862,11,-4.806,1,0.0559,0.0117,0.483,0.112,0.433,141.492,audio_features,71SERqGA0CKmQnt0jWDPTX,spotify:track:71SERqGA0CKmQnt0jWDPTX,https://api.spotify.com/v1/tracks/71SERqGA0CKmQnt0jWDPTX,https://api.spotify.com/v1/audio-analysis/71SERqGA0CKmQnt0jWDPTX,214008,3
6PInkrdWpzFi6c4Ffrzs3q,5LzBRPVAPYUssZ4ZESnRmH,2017-03-13T06:14:22Z,Baybee,Jay Som,0.624,0.599,11,-7.303,0,0.0314,0.00235,0.0967,0.218,0.657,79.982,audio_features,6PInkrdWpzFi6c4Ffrzs3q,spotify:track:6PInkrdWpzFi6c4Ffrzs3q,https://api.spotify.com/v1/tracks/6PInkrdWpzFi6c4Ffrzs3q,https://api.spotify.com/v1/audio-analysis/6PInkrdWpzFi6c4Ffrzs3q,225253,4
1g89nNWU8XIjUQwc8BNVTD,5LzBRPVAPYUssZ4ZESnRmH,2017-03-14T03:17:42Z,Am I a Girl? Am I a Boy? Do I Really Care?,In Love With a Ghost,0.928,0.433,0,-12.604,1,0.0638,0.543,0.323,0.0904,0.757,104.981,audio_features,1g89nNWU8XIjUQwc8BNVTD,spotify:track:1g89nNWU8XIjUQwc8BNVTD,https://api.spotify.com/v1/tracks/1g89nNWU8XIjUQwc8BNVTD,https://api.spotify.com/v1/audio-analysis/1g89nNWU8XIjUQwc8BNVTD,59481,4
5ZS5Pj89GOnqp2BtPwUNE8,5LzBRPVAPYUssZ4ZESnRmH,2017-03-19T01:49:06Z,Mind Fields,No Vacation,0.427,0.714,0,-6.728,1,0.0313,0.0816,0.951,0.102,0.3,128.15,audio_features,5ZS5Pj89GOnqp2BtPwUNE8,spotify:track:5ZS5Pj89GOnqp2BtPwUNE8,https://api.spotify.com/v1/tracks/5ZS5Pj89GOnqp2BtPwUNE8,https://api.spotify.com/v1/audio-analysis/5ZS5Pj89GOnqp2BtPwUNE8,272626,4
